Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
319,SCOTT ROAD STN/NEWTON EXCH,Southeast,Std. Bus,All Day Frequent,49000,16000,12 km,22 km/h,7,7471296,22999,16979,13437,23769,77%,7533668,69756,Newton; Scott Road; Scottsdale,Expo/Millennium Line,36270.44716,2019,120,36270.44716
320,LANGLEY/FLEETWOOD/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,87000,43000,15.6 km,23 km/h,41,2677382,8049,6394,5349,5820,78%,5175860,47925,Cloverdale; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,58166.79125,2019,121,58166.79125
321,WHITE ROCK CENTRE/NEWTON EXCH/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,105000,38000,21 km,26 km/h,29,3429713,10257,8155,7063,10388,75%,6066436,56171,Columbia; King George; New Westminster; Newton; Scott Road; South Surrey; Surrey Central; White Rock Centre,Expo/Millennium Line,93341.11569,2019,122,93341.11569
322,NEWTON EXCH/SCOTTSDALE EXCH,Southeast,Mini-Bus,Standard,57000,10000,14.7 km,25 km/h,111,564076,1693,1276,1196,1286,90%,1179231,17090,Newton; Scottsdale,None,33134.38502,2019,123,33134.38502
323,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,46000,22000,10.3 km,21 km/h,37,3008814,9201,6660,5791,11651,78%,3106136,28761,Newton; Surrey Central,Expo/Millennium Line,23713.3029,2019,124,23713.3029
324,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,48000,16000,9.8 km,21 km/h,67,1376866,4290,2869,2489,2946,82%,2000912,18527,Newton; Surrey Central,Expo/Millennium Line,21063.60024,2019,125,21063.60024
325,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,45000,14000,7.5 km,21 km/h,72,1290351,3981,2696,2489,1688,86%,1677413,15532,Newton; Surrey Central,Expo/Millennium Line,16208.32221,2019,126,16208.32221
326,GUILDFORD EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Basic,66000,23000,11.5 km,22 km/h,116,495281,1670,828,560,723,79%,1140871,10564,Guildford; King George; Surrey Central,Expo/Millennium Line,28688.58733,2019,127,28688.58733
329,SURREY CENTRAL STN/SCOTTSDALE EXCH,Southeast,Std. Bus,Basic,65000,20000,10 km,22 km/h,144,201236,692,551,0,127,85%,369580,3422,King George; Scottsdale; Surrey Central,Expo/Millennium Line,25817.85447,2019,128,25817.85447
335,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,106000,26000,13.4 km,22 km/h,30,3399333,10763,6956,5578,10812,79%,4438787,41100,Gateway; Guildford; Newton; Surrey Central,Expo/Millennium Line,47976.31056,2019,129,47976.31056
